"Age, ka","Elevation, m"
1409.69,-62.66666667
1414.48,-74.66666667
1419.04,-80
1423.45,-78.66666667
1426.9,-67.33333333
1430.15,-54
1432.6,-52.66666667
1434.99,-28
1437.31,-29.33333333
1439.84,-26
1442.29,-8
1442.29,-12
1444.92,-18.66666667
1447.59,-11.33333333
1450.4,-14
1453.15,-44
1455.4,-62
1457.9,-82.66666667
1460.15,-84.66666667
1462.4,-75.33333333
1464.96,-64
1467.89,-44
1470.66,-44.66666667
1473.98,-44.66666667
1477.16,-31.33333333
1480.52,-25.33333333
1480.52,-28
1484.24,-22
1484.24,-16.66666667
1487.87,-21.33333333
1487.87,-21.33333333
1492.18,-22.66666667
1496.86,-64.66666667
1496.86,-51.33333333
1502.3,-82
1502.3,-84.66666667
1507.38,-74.66666667
1512.9,-66
1517.72,-44
1521.88,-34
1521.88,-32.66666667
1526.16,-43.33333333
1530.04,-56.66666667
1536.44,-64
1536.44,-72.66666667
1539.43,-88.66666667
1542.26,-82
1544.6,-82
1547.35,-48.66666667
1550.26,-50.66666667
1553.03,-67.33333333
1553.03,-70.66666667
1556.06,-53.33333333
1559.42,-49.33333333
1562.92,-43.33333333
1566.12,-52
1566.4,-44
1569.6,-64.66666667
1569.9,-44
1571.76,-53.33333333
1571.76,-68
1573.36,-73.33333333
1576.8,-74.66666667
1576.8,-68.66666667
1579.45,-68.66666667
1580.62,-65.33333333
1583.86,-50.66666667
1584.68,-54
1591.08,-49.33333333
1593.53,-53.33333333
1594.51,-47.33333333
1599.16,-43.33333333
1599.68,-48.66666667
1604.52,-50
1604.52,-35.33333333
1606.15,-44
1608.35,-43.33333333
1610,-38.66666667
1610,-45.33333333
1611.64,-38.66666667
1614.34,-48.66666667
1615.42,-44
1618.06,-44.66666667
1620.66,-51.33333333
1623.17,-50
1624.64,-41.33333333
1626.11,-58
1630.04,-54
1634.02,-43.33333333
1634.02,-49.33333333
1637.6,-55.33333333
1640.4,-54
1640.4,-54.66666667
1643.19,-50.66666667
1644.96,-77.33333333
1646.4,-39.33333333
1647.24,-74.66666667
1648.29,-66
1649.5,-84
1650.68,-34.66666667
1650.86,-24.66666667
1652.81,-78.66666667
1655.7,-80.66666667
1660,-71.33333333
1664.64,-72
1665.92,-73.33333333
1666.56,-78.66666667
1667.04,-75.33333333
1667.36,-69.33333333
1667.84,-66
1668.36,-64
1669.26,-48.66666667
1672.7,-40.66666667
1684.2,-38
1687.08,-25.33333333
1688.2,-45.33333333
1689,-44.66666667
1690.2,-52
1691,-62
1693.15,-65.33333333
1694.95,-69.33333333
1698.3,-52.66666667
1698.3,-74
1705.08,-62
1718.6,-36
1726.65,-52.66666667
1729.5,-29.33333333
1731.8,-34
1733.2,-55.33333333
1735.22,-46.66666667
1739.86,-36.66666667
1745,-34.66666667
1745.2,-44.66666667
1747.57,-56
1749.08,-54
1749.26,-38
1749.8,-70
1751.24,-51.33333333
1752.14,-42.66666667
1753.22,-49.33333333
1754.66,-48
1756.48,-24
1758.76,-28.66666667
1761.5,-34
1764,-44
1766.78,-22
1770.26,-24.66666667
1773.54,-32.66666667
1776.71,-54
1779.48,-54
1781.7,-71.33333333
1783.96,-58
1787.92,-56
1791.5,-61.33333333
1794.96,-66
1794.96,-50
1797.65,-56.66666667
1800.22,-33.33333333
1802.9,-41.33333333
1805.12,-36.66666667
1807.49,-34
